Clone	PY06	SG06	DM06	ST06	NS06	NI06	PY07	FM07	SG07	DM07	ST07	NS07	NI07	PY08	FM08	SG08	DM08	ST08	NS08	NI08	PY14	FM14	SG14	DM14	ST14	NS14	NI14
Atlantic	3.37500	1.07882	23.40400	2.00000	7.79400	58.80000	1.42070	77.58000	1.07977	21.37200	1.00000	8.68200	15.60000	1.10880	62.12000	1.07194	18.34800	1.50000	8.37500	26.30000	1.06350	89.87500	1.07429	NA	2.83333	7.65833	45.00000
B1829-5	2.95000	1.07134	21.69400	1.00000	9.00000	0.00000	0.85900	89.62000	1.07545	19.64100	0.00000	9.00000	0.00000	0.79750	107.25000	1.07112	23.26500	1.00000	8.81300	7.50000	0.79300	93.25000	1.07957	NA	2.00000	9.00000	0.00000
B2721-001	2.18330	1.08642	25.29300	2.00000	8.92200	3.90000	0.78700	75.12000	1.08194	22.05600	1.00000	9.00000	0.00000	0.75800	53.63000	1.07261	21.96000	3.00000	8.92500	7.50000	0.88600	91.50000	1.07741	19.19100	2.00000	8.90000	8.90000
B2721-002	2.87500	1.07720	22.28000	2.00000	8.43500	34.80000	0.84200	62.25000	1.08394	22.28700	1.50000	7.95000	40.00000	0.62800	88.63000	1.07752	20.12900	3.00000	9.00000	0.00000	0.97450	89.50000	1.07903	21.02300	3.00000	7.75000	7.75000
B2721-003	3.20830	1.06996	21.10500	2.00000	8.61100	19.40000	0.69800	86.00000	1.07279	20.47100	0.00000	8.62000	15.60000	0.83450	82.88000	1.05952	19.04900	2.00000	9.00000	0.00000	0.48800	91.50000	1.06457	19.10300	0.50000	8.60000	17.50000
B2721-004	1.23330	1.08455	24.55200	2.00000	8.30000	35.00000	NA	NA	NA	NA	NA	NA	NA	0.31550	61.88000	1.06924	17.34100	3.00000	8.94900	5.10000	0.27150	86.62500	1.06694	20.83700	2.00000	8.93750	8.93750
B2721-005	2.67500	1.06946	21.08400	1.00000	9.00000	0.00000	1.63450	51.75000	1.07280	20.91600	0.50000	7.62500	67.50000	0.86100	50.08000	1.05911	23.93400	1.50000	8.90000	10.00000	1.19700	88.62500	1.06474	18.38700	2.50000	7.62500	55.00000
B2721-006	1.48330	1.06490	22.57800	2.00000	4.47600	95.20000	0.78800	80.63000	1.06679	19.08600	1.00000	5.02500	90.00000	0.60950	88.88000	1.06802	17.39200	1.50000	7.70000	55.00000	0.39450	88.62500	1.05890	19.77700	2.00000	6.62500	65.00000
B2721-007	2.01670	1.07398	21.45600	1.00000	9.00000	0.00000	1.20190	63.25000	1.07553	19.78700	0.50000	9.00000	0.00000	0.73600	47.63000	1.06470	13.62000	0.50000	9.00000	0.00000	0.44450	89.50000	1.07888	20.79300	1.00000	9.00000	0.00000
B2721-008	3.80000	1.07500	22.99900	2.00000	8.78800	18.20000	1.13800	60.88000	1.06909	20.49900	1.50000	7.97500	32.50000	0.75150	44.00000	1.06228	15.47400	1.00000	8.55000	25.00000	1.12500	85.75000	1.06150	19.04300	3.00000	6.02500	72.50000
